category,title,context,question,answer
全院共用服務-綜合業務,資訊課程推廣說明,"中研院資訊推廣課程適用對象為院內在職同仁且具備SSO帳號者皆可參加。資訊推廣課程包含各種資訊類型、資安類型課程，相關資訊請參考網站https://its.sinica.edu.tw/pages/1645。

推廣課程報名方式採線上報名，請登入院內行政服務系統，進入人事訓練系統報名。若需要公務人員學習時數，依實際上課時數，報由人事室進行登入。到課時請務必簽到，以備查核（恕無課後補簽）。

資訊推廣課程報名結果將以E-mail通知，並於上課前一日提醒，若未收到上課通知者，請來信its@gate.sinica.edu.tw 詢問，或改撥服務專線（02）2789-8855洽詢。報名順序進行錄取，上課學員如不克前來，請預先告知（開課前1天以上），以利後補作業之進行。",中研院資訊推廣課程的適用對象是誰？,中研院資訊推廣課程適用對象為院內在職同仁且具備SSO帳號者皆可參加。
全院共用服務-綜合業務,資訊課程推廣說明,"中研院資訊推廣課程適用對象為院內在職同仁且具備SSO帳號者皆可參加。資訊推廣課程包含各種資訊類型、資安類型課程，相關資訊請參考網站https://its.sinica.edu.tw/pages/1645。

推廣課程報名方式採線上報名，請登入院內行政服務系統，進入人事訓練系統報名。若需要公務人員學習時數，依實際上課時數，報由人事室進行登入。到課時請務必簽到，以備查核（恕無課後補簽）。

資訊推廣課程報名結果將以E-mail通知，並於上課前一日提醒，若未收到上課通知者，請來信its@gate.sinica.edu.tw 詢問，或改撥服務專線（02）2789-8855洽詢。報名順序進行錄取，上課學員如不克前來，請預先告知（開課前1天以上），以利後補作業之進行。",資訊推廣課程包括哪些類型的課程？,資訊推廣課程包含各種資訊類型、資安類型課程。
全院共用服務-綜合業務,資訊課程推廣說明,"中研院資訊推廣課程適用對象為院內在職同仁且具備SSO帳號者皆可參加。資訊推廣課程包含各種資訊類型、資安類型課程，相關資訊請參考網站https://its.sinica.edu.tw/pages/1645。

推廣課程報名方式採線上報名，請登入院內行政服務系統，進入人事訓練系統報名。若需要公務人員學習時數，依實際上課時數，報由人事室進行登入。到課時請務必簽到，以備查核（恕無課後補簽）。

資訊推廣課程報名結果將以E-mail通知，並於上課前一日提醒，若未收到上課通知者，請來信its@gate.sinica.edu.tw 詢問，或改撥服務專線（02）2789-8855洽詢。報名順序進行錄取，上課學員如不克前來，請預先告知（開課前1天以上），以利後補作業之進行。",資訊推廣課程的報名方式是什麼？,推廣課程報名方式採線上報名，請登入院內行政服務系統，進入人事訓練系統報名。
全院共用服務-綜合業務,資訊課程推廣說明,"中研院資訊推廣課程適用對象為院內在職同仁且具備SSO帳號者皆可參加。資訊推廣課程包含各種資訊類型、資安類型課程，相關資訊請參考網站https://its.sinica.edu.tw/pages/1645。

推廣課程報名方式採線上報名，請登入院內行政服務系統，進入人事訓練系統報名。若需要公務人員學習時數，依實際上課時數，報由人事室進行登入。到課時請務必簽到，以備查核（恕無課後補簽）。

資訊推廣課程報名結果將以E-mail通知，並於上課前一日提醒，若未收到上課通知者，請來信its@gate.sinica.edu.tw 詢問，或改撥服務專線（02）2789-8855洽詢。報名順序進行錄取，上課學員如不克前來，請預先告知（開課前1天以上），以利後補作業之進行。",如果需要公務人員學習時數，該如何報名？,需要公務人員學習時數的報名者，依實際上課時數，由人事室進行登入。
全院共用服務-綜合業務,資訊課程推廣說明,"中研院資訊推廣課程適用對象為院內在職同仁且具備SSO帳號者皆可參加。資訊推廣課程包含各種資訊類型、資安類型課程，相關資訊請參考網站https://its.sinica.edu.tw/pages/1645。

推廣課程報名方式採線上報名，請登入院內行政服務系統，進入人事訓練系統報名。若需要公務人員學習時數，依實際上課時數，報由人事室進行登入。到課時請務必簽到，以備查核（恕無課後補簽）。

資訊推廣課程報名結果將以E-mail通知，並於上課前一日提醒，若未收到上課通知者，請來信its@gate.sinica.edu.tw 詢問，或改撥服務專線（02）2789-8855洽詢。報名順序進行錄取，上課學員如不克前來，請預先告知（開課前1天以上），以利後補作業之進行。",資訊推廣課程的報名結果如何通知學員？,資訊推廣課程的報名結果會以E-mail通知學員，並於上課前一日提醒。如果學員未收到上課通知，可以來信its@gate.sinica.edu.tw詢問，或撥打服務專線（02）2789-8855洽詢。
全院共用服務-綜合業務,資訊課程推廣說明,"中研院資訊推廣課程適用對象為院內在職同仁且具備SSO帳號者皆可參加。資訊推廣課程包含各種資訊類型、資安類型課程，相關資訊請參考網站https://its.sinica.edu.tw/pages/1645。

推廣課程報名方式採線上報名，請登入院內行政服務系統，進入人事訓練系統報名。若需要公務人員學習時數，依實際上課時數，報由人事室進行登入。到課時請務必簽到，以備查核（恕無課後補簽）。

資訊推廣課程報名結果將以E-mail通知，並於上課前一日提醒，若未收到上課通知者，請來信its@gate.sinica.edu.tw 詢問，或改撥服務專線（02）2789-8855洽詢。報名順序進行錄取，上課學員如不克前來，請預先告知（開課前1天以上），以利後補作業之進行。",如果學員未收到上課通知，該如何詢問？,學員可以來信到its@gate.sinica.edu.tw詢問，或是撥打服務專線（02）2789-8855洽詢。
全院共用服務-綜合業務,資訊課程推廣說明,"中研院資訊推廣課程適用對象為院內在職同仁且具備SSO帳號者皆可參加。資訊推廣課程包含各種資訊類型、資安類型課程，相關資訊請參考網站https://its.sinica.edu.tw/pages/1645。

推廣課程報名方式採線上報名，請登入院內行政服務系統，進入人事訓練系統報名。若需要公務人員學習時數，依實際上課時數，報由人事室進行登入。到課時請務必簽到，以備查核（恕無課後補簽）。

資訊推廣課程報名結果將以E-mail通知，並於上課前一日提醒，若未收到上課通知者，請來信its@gate.sinica.edu.tw 詢問，或改撥服務專線（02）2789-8855洽詢。報名順序進行錄取，上課學員如不克前來，請預先告知（開課前1天以上），以利後補作業之進行。",如果無法前來上課，該如何告知？,上課學員如不克前來，請預先告知（開課前1天以上），以利後補作業之進行。
全院共用服務-綜合業務,資訊課程推廣說明,"中研院資訊推廣課程適用對象為院內在職同仁且具備SSO帳號者皆可參加。資訊推廣課程包含各種資訊類型、資安類型課程，相關資訊請參考網站https://its.sinica.edu.tw/pages/1645。

推廣課程報名方式採線上報名，請登入院內行政服務系統，進入人事訓練系統報名。若需要公務人員學習時數，依實際上課時數，報由人事室進行登入。到課時請務必簽到，以備查核（恕無課後補簽）。

資訊推廣課程報名結果將以E-mail通知，並於上課前一日提醒，若未收到上課通知者，請來信its@gate.sinica.edu.tw 詢問，或改撥服務專線（02）2789-8855洽詢。報名順序進行錄取，上課學員如不克前來，請預先告知（開課前1天以上），以利後補作業之進行。",如果有其他問題，該如何聯絡相關單位？,若有其他問題，可以來信詢問到its@gate.sinica.edu.tw，或改撥服務專線（02）2789-8855洽詢。
全院共用服務-綜合業務,數位學習專區說明,"中研院數位學習專區內課程包含知識饗宴直播、學術倫理、研究倫理、環境教育、廉政倫理、資通安全、實驗室安全、生物安全、軟體操作、程式設計、數據分析、微學習等數位課程，歡迎同仁前往選讀。

中研院在職同仁且具備SSO帳號者皆可從院內行政服務登入數位學習專區使用，首次登入使用時須綁定我的e政府帳號，詳細設定說明請參考網站https://its.sinica.edu.tw/pages/1674。並可透過院內行政服務之個人學習時數查詢系統即時查詢學習時數。",數位學習專區內的課程有哪些？,數位學習專區內的課程包含知識饗宴直播、學術倫理、研究倫理、環境教育、廉政倫理、資通安全、實驗室安全、生物安全、軟體操作、程式設計、數據分析、微學習等數位課程。
全院共用服務-綜合業務,數位學習專區說明,"中研院數位學習專區內課程包含知識饗宴直播、學術倫理、研究倫理、環境教育、廉政倫理、資通安全、實驗室安全、生物安全、軟體操作、程式設計、數據分析、微學習等數位課程，歡迎同仁前往選讀。

中研院在職同仁且具備SSO帳號者皆可從院內行政服務登入數位學習專區使用，首次登入使用時須綁定我的e政府帳號，詳細設定說明請參考網站https://its.sinica.edu.tw/pages/1674。並可透過院內行政服務之個人學習時數查詢系統即時查詢學習時數。",如何使用中研院的數位學習專區？,在職的中研院同仁且具備SSO帳號，可以從院內行政服務登入數位學習專區使用。首次登入使用时需要绑定自己的e政府帳号。同时，通过院內行政服务的个人学习时数查询系统，可以即时查看自己的学习时数。中研院的數位學習專區中包含了多个知识领域的学习课程，包括知识饗宴直播、學術倫理、研究倫理、環境教育、廉政倫理、資通安全、實驗室安全、生物安全、軟體操作、程式設計、數據分析、微學習等，欢迎同仁前往选择学习。
全院共用服務-綜合業務,數位學習專區說明,"中研院數位學習專區內課程包含知識饗宴直播、學術倫理、研究倫理、環境教育、廉政倫理、資通安全、實驗室安全、生物安全、軟體操作、程式設計、數據分析、微學習等數位課程，歡迎同仁前往選讀。

中研院在職同仁且具備SSO帳號者皆可從院內行政服務登入數位學習專區使用，首次登入使用時須綁定我的e政府帳號，詳細設定說明請參考網站https://its.sinica.edu.tw/pages/1674。並可透過院內行政服務之個人學習時數查詢系統即時查詢學習時數。",需要什麼條件才能使用中研院的數位學習專區？,在職且具備SSO帳號的中研院同仁皆可使用中研院的數位學習專區。首次登入使用時須綁定我的e政府帳號。
全院共用服務-綜合業務,數位學習專區說明,"中研院數位學習專區內課程包含知識饗宴直播、學術倫理、研究倫理、環境教育、廉政倫理、資通安全、實驗室安全、生物安全、軟體操作、程式設計、數據分析、微學習等數位課程，歡迎同仁前往選讀。

中研院在職同仁且具備SSO帳號者皆可從院內行政服務登入數位學習專區使用，首次登入使用時須綁定我的e政府帳號，詳細設定說明請參考網站https://its.sinica.edu.tw/pages/1674。並可透過院內行政服務之個人學習時數查詢系統即時查詢學習時數。",第一次登入使用時需要做什麼步驟？,首次登入使用時須綁定我的e政府帳號，詳細設定說明請參考網站https://its.sinica.edu.tw/pages/1674。
全院共用服務-綜合業務,數位學習專區說明,"中研院數位學習專區內課程包含知識饗宴直播、學術倫理、研究倫理、環境教育、廉政倫理、資通安全、實驗室安全、生物安全、軟體操作、程式設計、數據分析、微學習等數位課程，歡迎同仁前往選讀。

中研院在職同仁且具備SSO帳號者皆可從院內行政服務登入數位學習專區使用，首次登入使用時須綁定我的e政府帳號，詳細設定說明請參考網站https://its.sinica.edu.tw/pages/1674。並可透過院內行政服務之個人學習時數查詢系統即時查詢學習時數。",如何查詢學習時數？,可以透過中研院院內行政服務之個人學習時數查詢系統即時查詢學習時數。
全院共用服務-綜合業務,本院聯合行事?,"中研院聯合行事曆由資訊服務處開發實作，網址為 https://calendar.sinica.edu.tw/。

提供管理平台供中研院內40多個單位共同建置重要活動、會議、研討會等資訊且合併呈現，亦可呈現三組(數理科學組、生命科學組、人文及社會科學組)或院本部的行事曆。",請問是哪個單位負責開發和實作中研院聯合行事曆？,資訊服務處。
全院共用服務-綜合業務,本院聯合行事?,"中研院聯合行事曆由資訊服務處開發實作，網址為 https://calendar.sinica.edu.tw/。

提供管理平台供中研院內40多個單位共同建置重要活動、會議、研討會等資訊且合併呈現，亦可呈現三組(數理科學組、生命科學組、人文及社會科學組)或院本部的行事曆。",請問中研院聯合行事曆的網址是什麼？,https://calendar.sinica.edu.tw/
全院共用服務-綜合業務,本院聯合行事?,"中研院聯合行事曆由資訊服務處開發實作，網址為 https://calendar.sinica.edu.tw/。

提供管理平台供中研院內40多個單位共同建置重要活動、會議、研討會等資訊且合併呈現，亦可呈現三組(數理科學組、生命科學組、人文及社會科學組)或院本部的行事曆。",這個服務可以供多少個單位共同建置和呈現資訊？,這個服務可以供中研院內40多個單位共同建置和呈現資訊。
全院共用服務-綜合業務,本院聯合行事?,"中研院聯合行事曆由資訊服務處開發實作，網址為 https://calendar.sinica.edu.tw/。

提供管理平台供中研院內40多個單位共同建置重要活動、會議、研討會等資訊且合併呈現，亦可呈現三組(數理科學組、生命科學組、人文及社會科學組)或院本部的行事曆。",請問這個服務可以呈現哪些類別的行事曆？,這個服務可以呈現數理科學組、生命科學組、人文及社會科學組或院本部的行事曆。
全院共用服務-綜合業務,本院聯合行事?,"中研院聯合行事曆由資訊服務處開發實作，網址為 https://calendar.sinica.edu.tw/。

提供管理平台供中研院內40多個單位共同建置重要活動、會議、研討會等資訊且合併呈現，亦可呈現三組(數理科學組、生命科學組、人文及社會科學組)或院本部的行事曆。",能否提供更多關於這個服務的資訊？,中研院聯合行事曆是由中央研究院資訊服務處開發的一個服務，用於管理和合併中研院內各個單位的重要活動、會議、研討會等資訊。此服務提供了管理平台，讓40多個單位可以共同建置這些資訊。此外，使用者可依需要設定資訊篩選，以便專注關注特定組別或本部的更新。使用者可以透過網頁瀏覽器或行動裝置訪問此服務。詳細資訊可參考 https://calendar.sinica.edu.tw/。
全院共用服務-綜合業務,軟體聯合採購,"有關聯合採購服務，中研院院跨組三個以上單位且金額達100萬元之軟體需求，可請資訊服務處代為辦理聯合採購；全院性授權軟體採購案，不受金額或跨單位條件限制，直接由資訊服務處辦理。聯合採購金額，採使用者付費之原則，由使用單位分攤。

目前資訊服務處協助辦理聯合採購軟體的種類有：SAS、MATLAB 、Gaussian and GaussView、EndNote、微軟教育版軟體大量授權(for Win)、Adobe Acrobat Pro (Win、Mac)、ChemOffice Professional、Adobe Creative Cloud、4MOSAn GCB Doctor 、Webex、Linux/Mac版防毒軟體等。

中研院聯合採購之微軟教育版軟體大量授權等下載，限定各單位資訊室負責採購業務同仁登入下載，故有使用需求請洽詢各單位資訊人員。",請問聯合採購的軟體需求必須達到什麼條件才能請資訊服務處代辦？,中研院院跨組三個以上單位且金額達100萬元之軟體需求才能請資訊服務處代辦聯合採購。
全院共用服務-綜合業務,軟體聯合採購,"有關聯合採購服務，中研院院跨組三個以上單位且金額達100萬元之軟體需求，可請資訊服務處代為辦理聯合採購；全院性授權軟體採購案，不受金額或跨單位條件限制，直接由資訊服務處辦理。聯合採購金額，採使用者付費之原則，由使用單位分攤。

目前資訊服務處協助辦理聯合採購軟體的種類有：SAS、MATLAB 、Gaussian and GaussView、EndNote、微軟教育版軟體大量授權(for Win)、Adobe Acrobat Pro (Win、Mac)、ChemOffice Professional、Adobe Creative Cloud、4MOSAn GCB Doctor 、Webex、Linux/Mac版防毒軟體等。

中研院聯合採購之微軟教育版軟體大量授權等下載，限定各單位資訊室負責採購業務同仁登入下載，故有使用需求請洽詢各單位資訊人員。",請問全院性授權軟體採購案的金額或跨單位條件限制是什麼？,全院性授權軟體採購案不受金額或跨單位條件限制。
全院共用服務-綜合業務,軟體聯合採購,"有關聯合採購服務，中研院院跨組三個以上單位且金額達100萬元之軟體需求，可請資訊服務處代為辦理聯合採購；全院性授權軟體採購案，不受金額或跨單位條件限制，直接由資訊服務處辦理。聯合採購金額，採使用者付費之原則，由使用單位分攤。

目前資訊服務處協助辦理聯合採購軟體的種類有：SAS、MATLAB 、Gaussian and GaussView、EndNote、微軟教育版軟體大量授權(for Win)、Adobe Acrobat Pro (Win、Mac)、ChemOffice Professional、Adobe Creative Cloud、4MOSAn GCB Doctor 、Webex、Linux/Mac版防毒軟體等。

中研院聯合採購之微軟教育版軟體大量授權等下載，限定各單位資訊室負責採購業務同仁登入下載，故有使用需求請洽詢各單位資訊人員。",目前資訊服務處協助辦理聯合採購的軟體有哪些？,SAS、MATLAB、Gaussian and GaussView、EndNote、微軟教育版軟體大量授權(for Win)、Adobe Acrobat Pro (Win、Mac)、ChemOffice Professional、Adobe Creative Cloud、4MOSAn GCB Doctor、Webex、Linux/Mac版防毒軟體等。
全院共用服務-綜合業務,軟體聯合採購,"有關聯合採購服務，中研院院跨組三個以上單位且金額達100萬元之軟體需求，可請資訊服務處代為辦理聯合採購；全院性授權軟體採購案，不受金額或跨單位條件限制，直接由資訊服務處辦理。聯合採購金額，採使用者付費之原則，由使用單位分攤。

目前資訊服務處協助辦理聯合採購軟體的種類有：SAS、MATLAB 、Gaussian and GaussView、EndNote、微軟教育版軟體大量授權(for Win)、Adobe Acrobat Pro (Win、Mac)、ChemOffice Professional、Adobe Creative Cloud、4MOSAn GCB Doctor 、Webex、Linux/Mac版防毒軟體等。

中研院聯合採購之微軟教育版軟體大量授權等下載，限定各單位資訊室負責採購業務同仁登入下載，故有使用需求請洽詢各單位資訊人員。",關於微軟教育版軟體大量授權的下載，限定哪些人員可以登入下載？,限定各單位資訊室負責採購業務同仁登入下載。
全院共用服務-綜合業務,全院授權軟體啟動,"資訊服務處架設之微軟授權產品全院KMS啟動認證伺服器，目前提供全院Windows 10 / 8 / 7 / vista，以及Office 2013/2016/2019等各項產品之啟動認證服務。同仁完成上述大量授權產品之安裝後，請在30天之寬限期內，完成產品之KMS啟動認證。

若將電腦帶離院內環境（即140.109之IP網段），若超過180天之有效期限，則必須將電腦帶回院內啟動，KMS伺服器接受三種不同之啟動方式完成認證（請參考網站https://its.sinica.edu.tw/pages/1677），請同仁擇一使用即可。",請問全院授權軟體啟動服務是由哪個單位提供的？,全院授權軟體啟動服務是由中研院資訊服務處提供的。
全院共用服務-綜合業務,全院授權軟體啟動,"資訊服務處架設之微軟授權產品全院KMS啟動認證伺服器，目前提供全院Windows 10 / 8 / 7 / vista，以及Office 2013/2016/2019等各項產品之啟動認證服務。同仁完成上述大量授權產品之安裝後，請在30天之寬限期內，完成產品之KMS啟動認證。

若將電腦帶離院內環境（即140.109之IP網段），若超過180天之有效期限，則必須將電腦帶回院內啟動，KMS伺服器接受三種不同之啟動方式完成認證（請參考網站https://its.sinica.edu.tw/pages/1677），請同仁擇一使用即可。",請問全院授權軟體啟動服務支援哪些Windows作業系統和Office產品？,全院授權軟體啟動服務支援Windows 10 / 8 / 7 / vista作業系統和Office 2013/2016/2019等產品。
全院共用服務-綜合業務,全院授權軟體啟動,"資訊服務處架設之微軟授權產品全院KMS啟動認證伺服器，目前提供全院Windows 10 / 8 / 7 / vista，以及Office 2013/2016/2019等各項產品之啟動認證服務。同仁完成上述大量授權產品之安裝後，請在30天之寬限期內，完成產品之KMS啟動認證。

若將電腦帶離院內環境（即140.109之IP網段），若超過180天之有效期限，則必須將電腦帶回院內啟動，KMS伺服器接受三種不同之啟動方式完成認證（請參考網站https://its.sinica.edu.tw/pages/1677），請同仁擇一使用即可。",請問同仁完成安裝後的大量授權產品需在多久的時間內完成KMS啟動認證？,在30天的寬限期內完成KMS啟動認證。
全院共用服務-綜合業務,全院授權軟體啟動,"資訊服務處架設之微軟授權產品全院KMS啟動認證伺服器，目前提供全院Windows 10 / 8 / 7 / vista，以及Office 2013/2016/2019等各項產品之啟動認證服務。同仁完成上述大量授權產品之安裝後，請在30天之寬限期內，完成產品之KMS啟動認證。

若將電腦帶離院內環境（即140.109之IP網段），若超過180天之有效期限，則必須將電腦帶回院內啟動，KMS伺服器接受三種不同之啟動方式完成認證（請參考網站https://its.sinica.edu.tw/pages/1677），請同仁擇一使用即可。",若將電腦帶離院內環境，超過多久的有效期限後需將電腦帶回院內啟動？,若將電腦帶離院內環境，超過180天的有效期限後需將電腦帶回院內啟動。
全院共用服務-綜合業務,全院授權軟體啟動,"資訊服務處架設之微軟授權產品全院KMS啟動認證伺服器，目前提供全院Windows 10 / 8 / 7 / vista，以及Office 2013/2016/2019等各項產品之啟動認證服務。同仁完成上述大量授權產品之安裝後，請在30天之寬限期內，完成產品之KMS啟動認證。

若將電腦帶離院內環境（即140.109之IP網段），若超過180天之有效期限，則必須將電腦帶回院內啟動，KMS伺服器接受三種不同之啟動方式完成認證（請參考網站https://its.sinica.edu.tw/pages/1677），請同仁擇一使用即可。",請問KMS伺服器接受哪三種不同的啟動方式完成認證？,根據文字說明，KMS伺服器接受三種不同之啟動方式完成認證，具體方式請參考網站https://its.sinica.edu.tw/pages/1677。因此答案為：請參考網站https://its.sinica.edu.tw/pages/1677。
